StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-06-17T14:49:31.980027+07:00,Internal,PT3.428632S,True,System,1,Answered,*30
2026-06-17T14:48:11.562001+07:00,Outbound,PT48.777097S,True,External,1,Answered,10024
2026-06-17T14:42:37.978781+07:00,Internal,PT3.123545S,True,System,1,Answered,*31
2026-06-17T14:39:13.311559+07:00,Outbound,PT3M4.870843S,True,External,1,Answered,10023
2026-06-17T14:37:47.519424+07:00,Outbound,PT2M19.150054S,True,External,1,Answered,10024
2026-06-17T14:37:06.584658+07:00,Inbound,PT9M35.758701S,True,Extension,1,Answered,0112
2026-06-17T14:37:06.008684+07:00,Inbound Queue,PT2.82665S,True,Queue,1,Waiting,8196
2026-06-17T14:36:53.743554+07:00,Inbound,PT12.006777S,True,Digital Receptionist,1,Answered,8439
2026-06-17T14:35:22.404698+07:00,Outbound,PT2M15.471564S,True,External,1,Answered,10024
2026-06-17T14:33:58.866645+07:00,Inbound,PT47.726599S,True,Extension,1,Answered,0114
2026-06-17T14:33:58.088671+07:00,Inbound Queue,PT2.644994S,True,Queue,1,Waiting,8196
2026-06-17T14:33:45.807572+07:00,Inbound,PT12.159204S,True,Digital Receptionist,1,Answered,8439
2026-06-17T14:30:40.745316+07:00,Outbound,PT4M35.933962S,True,External,1,Answered,10024
2026-06-17T14:29:36.219957+07:00,Inbound,PT3M43.020164S,True,Extension,1,Answered,0112
2026-06-17T14:29:35.535058+07:00,Inbound Queue,PT2.644618S,True,Queue,1,Waiting,8196
2026-06-17T14:29:23.375271+07:00,Inbound,PT12.057S,True,Digital Receptionist,1,Answered,8439
2026-06-17T14:28:57.27861+07:00,Internal,PT3.515751S,True,System,1,Answered,*30
2026-06-17T14:29:23.165133+07:00,Inbound,PT3M52.568382S,True,Extension,1,Answered,0114
2026-06-17T14:29:22.370071+07:00,Inbound Queue,PT2.252599S,True,Queue,1,Waiting,8196
2026-06-17T14:29:10.198816+07:00,Inbound,PT12.151894S,True,Digital Receptionist,1,Answered,8439
2026-06-17T14:28:43.720919+07:00,Inbound,PT1M49.617765S,True,Extension,1,Answered,0113
2026-06-17T14:28:42.939943+07:00,Inbound Queue,PT2.432617S,True,Queue,1,Waiting,8196
2026-06-17T14:28:30.766761+07:00,Inbound,PT12.149612S,True,Digital Receptionist,1,Answered,8439
2026-06-17T14:26:53.192067+07:00,Internal,PT3.122412S,True,System,1,Answered,*31
2026-06-17T14:25:38.109833+07:00,Inbound,PT24.297843S,True,Extension,1,Answered,0112
2026-06-17T14:25:37.908482+07:00,Inbound Queue,PT13.780177S,True,Queue,1,Waiting,8196
2026-06-17T14:25:25.736896+07:00,Inbound,PT12.068934S,True,Digital Receptionist,1,Answered,8439
2026-06-17T14:04:13.710532+07:00,Outbound,PT0S,False,External,1,Unanswered,10024
2026-06-17T13:54:27.653159+07:00,Inbound,PT1M3.422999S,True,Extension,1,Answered,0114
2026-06-17T13:54:26.911592+07:00,Inbound Queue,PT3.058059S,True,Queue,1,Waiting,8196
2026-06-17T13:54:14.738721+07:00,Inbound,PT12.072948S,True,Digital Receptionist,1,Answered,8439
2026-06-17T13:52:10.657412+07:00,Outbound,PT2M52.232634S,True,External,1,Answered,10024
2026-06-17T13:51:55.372509+07:00,Outbound,PT9.924954S,True,External,1,Answered,10024
2026-06-17T13:52:44.049076+07:00,Inbound,PT10M16.060306S,True,Extension,1,Answered,0113
2026-06-17T13:52:43.332022+07:00,Inbound Queue,PT2.682306S,True,Queue,1,Waiting,8196
2026-06-17T13:52:31.175167+07:00,Inbound,PT12.020539S,True,Digital Receptionist,1,Answered,8439
2026-06-17T13:49:12.162007+07:00,Internal,PT3.522786S,True,System,1,Answered,*30
2026-06-17T13:39:24.457102+07:00,Internal,PT3.565348S,True,System,1,Answered,*30
2026-06-17T13:39:10.753667+07:00,Internal,PT3.126665S,True,System,1,Answered,*31
2026-06-17T13:38:54.509265+07:00,Outbound,PT12M45.028114S,True,External,1,Answered,10024
2026-06-17T13:37:31.41227+07:00,Outbound,PT1M11.382454S,True,External,1,Answered,10024
2026-06-17T13:36:02.748309+07:00,Inbound,PT1M48.583493S,True,Extension,1,Answered,0114
2026-06-17T13:34:37.969218+07:00,Inbound Queue,PT1M26.987944S,True,Queue,1,Waiting,8196
2026-06-17T13:34:25.695289+07:00,Inbound,PT12.071803S,True,Digital Receptionist,1,Answered,8439
2026-06-17T13:32:51.805631+07:00,Internal,PT3.125916S,True,System,1,Answered,*31
2026-06-17T13:32:51.320802+07:00,Inbound,PT3M7.747586S,True,Extension,1,Answered,0114
2026-06-17T13:32:50.672966+07:00,Inbound Queue,PT2.165121S,True,Queue,1,Waiting,8196
2026-06-17T13:32:38.404215+07:00,Inbound,PT12.06655S,True,Digital Receptionist,1,Answered,8439
2026-06-17T13:26:00.48166+07:00,Outbound,PT10M11.575237S,True,External,1,Answered,10024
2026-06-17T13:24:35.20488+07:00,Inbound,PT1M7.895287S,True,Extension,1,Answered,0113
2026-06-17T13:24:34.408746+07:00,Inbound Queue,PT2.572476S,True,Queue,1,Waiting,8196
2026-06-17T13:24:22.140345+07:00,Inbound,PT12.148519S,True,Digital Receptionist,1,Answered,8439
2026-06-17T13:24:01.099216+07:00,Inbound Queue,PT3.836704S,True,Queue,1,Waiting,8048
2026-06-17T13:23:30.66535+07:00,Inbound,PT28.688502S,True,Extension,1,Answered,0112
2026-06-17T13:23:30.457396+07:00,Inbound Queue,PT1.972593S,True,Queue,1,Waiting,8196
